id,y
1,78.22526
2,95.21174
3,78.338104
4,78.21133
5,112.13484
8,91.872574
10,111.73872
11,93.38771
12,114.214424
14,93.0382
15,114.21188
16,110.48551
17,97.62934
19,95.428474
20,111.76138
21,93.99139
22,114.210594
23,96.518555
26,93.14054
28,93.985435
29,96.518555
33,96.518555
35,92.01198
41,96.26498
42,91.86542
43,114.21171
45,104.22219
46,103.479256
51,93.52836
53,78.21165
55,114.1397
56,93.04404
57,102.990074
58,91.26772
59,104.45482
63,110.38927
64,93.59377
65,109.918205
69,91.85586
71,91.91958
72,102.39769
73,93.19489
76,104.60674
77,102.38218
78,114.19297
82,93.61561
83,109.918205
84,93.289085
85,102.06042
87,111.362816
88,96.26498
89,113.971
91,96.264275
93,93.153404
94,108.10262
95,92.91102
96,111.826775
97,93.90714
98,112.72155
99,92.801674
101,102.97584
103,113.971
104,92.15118
105,112.25315
110,91.8584
111,112.34536
113,114.08601
114,93.367195
115,112.32417
117,113.971
120,92.09467
121,112.55212
122,94.52421
123,114.20078
126,113.471405
132,114.212166
135,102.94309
137,101.956116
138,92.66663
140,92.83549
142,112.43536
144,112.36776
148,91.76536
149,113.11681
155,93.34944
156,112.26435
157,93.90714
162,112.54906
163,93.51418
167,92.08988
172,114.21171
179,114.18267
180,94.87025
181,111.62299
182,93.796074
183,113.971
185,113.971
187,112.38971
188,93.50283
189,93.7031
191,92.494606
192,114.19889
193,93.632126
194,112.36511
195,91.97158
196,114.126656
198,95.40185
199,112.18523
201,105.974884
204,92.16473
205,108.63065
206,92.09495
210,93.30254
211,102.97584
216,112.23142
219,114.21333
220,92.817245
221,112.28428
226,111.62299
227,92.894714
228,112.352646
230,112.33019
231,93.90714
235,114.20608
236,91.9897
238,112.35739
242,102.91798
243,95.56078
244,78.20466
245,113.904
247,112.37002
248,91.87168
249,93.07072
250,112.41151
251,91.9897
253,114.20608
254,93.208565
256,93.19828
257,91.85427
258,114.09762
259,92.85671
262,78.1817
266,91.937004
267,112.36609
272,100.50676
273,113.971
275,94.67338
276,113.45002
279,93.88792
280,109.918205
283,92.947495
285,112.29809
288,113.971
289,93.69962
290,104.29093
291,93.5278
292,110.369736
293,112.507126
296,94.07577
297,112.35642
298,114.20776
299,93.61274
304,91.9833
305,78.203255
306,93.03434
307,112.27678
311,112.16056
313,112.24031
314,92.09437
316,91.90345
324,92.83333
327,94.9506
329,92.61706
330,112.37928
337,101.64848
338,92.63941
339,99.35142
340,93.518486
343,91.88439
345,114.20966
346,91.88583
347,112.36924
349,114.18009
350,92.04934
352,113.155754
353,92.11523
354,78.19981
357,92.3254
358,113.79659
362,112.3377
364,114.2053
365,102.6285
366,96.616875
367,112.605385
368,93.977425
370,78.19129
373,91.62223
377,91.98034
378,112.929184
382,104.863945
384,112.36648
390,92.53969
392,113.21885
393,114.216385
395,93.471794
396,108.44043
399,78.20344
406,112.24031
408,112.24031
409,93.63836
410,78.19773
412,112.9213
413,91.88198
419,92.405495
420,112.60604
421,91.87643
430,95.40809
434,93.534676
436,93.79017
437,92.37064
438,91.87983
439,112.369705
440,93.38754
443,114.167305
446,92.208595
448,92.34058
452,92.654526
453,102.94674
457,100.59857
458,93.61253
459,114.217674
460,102.81074
462,100.56365
464,102.55528
465,114.21357
467,114.161194
471,112.12858
472,78.20191
473,93.73448
475,93.356804
480,93.011116
488,112.865456
490,112.27678
491,102.905045
492,78.20119
493,92.62725
497,91.98246
498,112.51409
499,91.91856
500,103.19045
501,93.82867
502,112.37357
506,78.21795
510,112.34376
511,93.634026
512,92.384254
516,92.20185
518,92.66538
519,112.32118
521,92.01717
522,113.533
526,112.35995
529,93.922905
532,112.36737
533,92.20647
536,113.864006
537,94.04258
539,93.59791
540,103.24452
541,92.15252
543,93.97306
546,112.375404
547,92.03061
548,78.18336
551,92.20846
552,102.831985
556,100.026924
557,93.74061
558,112.605385
559,93.50771
560,108.856636
562,109.800545
566,91.99636
570,112.51409
571,92.37064
572,109.58013
573,93.49964
575,114.21357
576,112.3616
577,92.84101
579,91.88668
580,112.392815
581,114.21488
589,112.27678
591,101.41328
593,93.79972
594,103.094475
595,94.08245
598,92.40668
602,112.36433
604,113.91585
606,109.551765
608,94.83154
609,102.99351
610,93.31535
616,112.39127
617,93.71732
618,102.52969
620,102.475105
622,113.789986
623,91.88461
624,114.21295
626,112.371735
628,112.37447
629,94.03684
630,112.35288
637,92.016685
638,103.63029
643,104.962036
645,93.0111
646,114.18874
648,92.092094
652,91.963524
653,92.494255
654,112.51409
656,112.36668
657,92.09069
659,92.016914
660,102.216705
663,93.27346
664,112.54931
666,102.77555
668,112.43145
669,91.89391
671,92.070496
675,92.13569
677,91.89977
678,113.35108
679,103.96557
682,94.3142
685,102.569176
687,92.20421
688,92.38149
693,113.008125
696,95.01449
698,92.141205
701,96.778854
704,102.98909
705,114.202095
709,113.982994
710,96.58512
711,103.44335
712,92.06284
714,112.35807
715,93.67005
716,112.23139
717,93.710365
720,114.210106
721,92.79928
724,101.01884
725,92.08222
726,112.630104
728,113.97047
731,92.260826
734,102.52827
738,93.53051
745,111.84331
746,92.27203
751,78.20208
754,92.20927
756,93.83561
758,92.299416
759,112.98823
761,114.209175
766,92.42477
767,112.949554
768,91.91877
769,114.024376
770,93.569466
771,78.20248
772,102.8771
773,92.03807
774,112.45549
776,112.36343
777,93.33939
780,114.212524
782,103.5617
787,102.27822
788,93.628395
792,91.88584
793,114.110954
798,94.25808
800,91.93735
806,112.23139
809,112.37087
811,114.03889
812,97.85909
814,114.2137
816,99.529915
817,93.72239
818,112.23878
820,111.072655
823,93.6717
829,91.96314
830,114.01888
831,91.89952
834,112.354774
839,93.45768
841,78.2051
844,104.29723
845,93.59197
848,92.03994
850,93.19871
851,102.845345
852,91.86329
854,92.00949
855,93.03215
856,99.52003
859,101.358116
861,112.45549
864,92.48113
865,112.452
866,92.448166
867,93.48315
869,93.62389
871,92.05075
872,112.23139
882,99.94549
883,93.60622
885,93.643845
888,95.361565
893,112.30686
901,112.75648
903,103.00349
904,91.97651
905,102.821495
910,93.48115
911,112.27293
914,113.00222
918,112.410576
921,91.87026
928,93.67423
929,102.80661
932,91.81797
933,102.20883
934,93.48115
935,112.48587
937,78.18696
939,93.62177
940,102.677414
941,93.67699
942,102.781105
943,92.07043
944,102.78866
947,112.23139
949,112.51749
951,112.68432
952,93.51104
953,103.00349
954,78.19366
957,112.28368
959,91.87847
960,112.56345
963,114.2137
965,112.23139
967,101.05036
971,93.644356
972,78.20368
973,91.90418
974,112.36689
975,92.69746
978,114.21372
980,112.88578
981,92.68432
984,113.3659
986,93.48115
988,91.91877
989,111.63752
990,102.11416
992,112.756485
996,92.9103
999,113.36021
1000,92.256996
1001,112.452
1002,91.91314
1003,112.36343
1004,91.878876
1008,112.37376
1009,91.841545
1010,112.30358
1012,112.95325
1013,91.33555
1014,112.34551
1015,99.05486
1016,114.21319
1019,104.85713
1020,113.5034
1021,93.48115
1022,102.83994
1024,93.48115
1025,78.203835
1027,93.709404
1028,102.8323
1029,92.25759
1030,92.331085
1033,112.352974
1036,92.38177
1037,111.94156
1038,91.92446
1042,93.62177
1043,102.31624
1044,91.98479
1045,112.345024
1047,114.21769
1050,94.24319
1051,112.29676
1054,93.62739
1056,92.68432
1057,93.65475
1059,93.443016
1062,93.663246
1063,102.899345
1064,92.68432
1066,92.180374
1070,102.85542
1076,112.37144
1077,102.90294
1078,112.33852
1080,112.30685
1082,114.15803
1083,95.21761
1089,113.69461
1091,95.83512
1093,93.370705
1097,94.13752
1099,92.4376
1101,93.47326
1103,93.69182
1104,112.38578
1106,113.011986
1109,94.062515
1110,112.37783
1111,95.13624
1112,114.2152
1114,94.5819
1116,93.86799
1117,112.64893
1120,95.07969
1124,112.36217
1125,91.82306
1126,112.4002
1134,112.33207
1137,92.081245
1138,112.394554
1144,112.215
1145,97.35566
1146,93.05613
1148,94.32464
1150,94.58335
1152,105.23187
1153,93.368706
1154,103.98357
1155,93.971825
1157,94.95579
1162,95.334816
1165,112.36283
1166,91.94098
1167,102.63787
1168,93.65748
1169,101.51632
1171,114.213264
1172,94.85989
1173,101.51632
1174,93.56646
1176,93.94963
1177,102.72524
1178,93.43742
1182,112.35534
1186,93.45887
1187,114.18545
1188,94.48896
1189,114.21537
1191,106.23606
1192,95.856834
1197,112.73733
1198,93.97839
1200,78.20359
1201,93.37858
1203,95.284454
1209,114.21578
1214,102.83083
1218,113.5833
1222,93.42626
1226,97.5651
1228,94.79776
1230,92.38473
1232,78.20829
1233,97.472984
1236,114.21834
1238,102.55782
1241,112.215
1244,109.149734
1246,93.239845
1247,112.96647
1250,114.177315
1251,95.468605
1254,112.49558
